proj_id,fund_class_name,display_name,policy_desc,aum,aum_as_of,aum_year_ago,aum_year_ago_as_of,aum_growth_rate
M0008_2537,main,RKF4,ตราสารทุน,218631199.39,2026-07-31,170008981.5,2025-07-14,0.28599793646784466
M0009_2543,main,K-FEQ,ผสม,1093772486.38,2026-07-31,1004727261.97,2025-07-14,0.08862626483868508
M0014_2536,K-SELECT-A(A),K-SELECT,ตราสารทุน,371552102.38,2026-07-31,301617364.34,2025-07-14,0.23186575545155175
M0014_2536,K-SELECT-A(D),K-SELECT,ตราสารทุน,371552102.38,2026-07-31,301617364.34,2025-07-14,0.23186575545155175
M0014_2536,K-SELECT-C(A),K-SELECT,ตราสารทุน,371552102.38,2026-07-31,301617364.34,2025-07-14,0.23186575545155175
M0017_2538,K-FIXED-A,K-FIXED,ตราสารหนี้,60943361980.16,2026-07-31,194035904557.45,2025-07-14,-0.6859170877721966
M0017_2538,K-FIXED-Z,K-FIXED,ตราสารหนี้,481350089.03,2026-07-31,3032119810.45,2025-07-14,-0.8412496474014455
M0021_2538,main,RKBC,ผสม,159993583.66,2026-07-31,145745420.33,2025-07-14,0.09776062464082225
M0023_2538,K-VALUE-A(A),K-VALUE,ตราสารทุน,960860221.44,2026-07-31,5472.7,2025-07-14,175572.34066183056
M0023_2538,K-VALUE-A(D),K-VALUE,ตราสารทุน,2570853162.88,2026-07-31,1958377443.95,2025-07-14,0.31274651412173715
M0023_2538,K-VALUE-P(A),K-VALUE,ตราสารทุน,746400318.24,2026-07-31,5472.7,2025-07-14,136385.11987501598
M0023_2538,K-VALUE-P(D),K-VALUE,ตราสารทุน,746400318.24,2026-07-31,5472.7,2025-07-14,136385.11987501598
M0023_2538,K-VALUE-Z(A),K-VALUE,ตราสารทุน,746400318.24,2026-07-31,5472.7,2025-07-14,136385.11987501598
M0023_2563,main,K-AB22B,ตราสารหนี้,181111105.81,2026-07-31,319239133.99,2025-07-14,-0.4326788713326317
M0027_2535,main,K-EQUITY,ตราสารทุน,2142837579.93,2026-07-31,1898386732.87,2025-07-14,0.12876767564132563
M0036_2565,main,K-DFIXED,ตราสารหนี้,71412507.78,2026-07-31,277272120.31,2025-07-14,-0.7424461294552143
M0037_2536,K-STEQ-A(A),K-STEQ,ตราสารทุน,304936314.56,2026-07-31,280096829.52,2025-07-14,0.08868177866406879
M0037_2536,K-STEQ-C(A),K-STEQ,ตราสารทุน,304936314.56,2026-07-31,8282.73,2025-07-14,36814.91873210886
M0038_2559,K-SFPLUS-A,K-SFPLUS,ตราสารหนี้,230219550375.78,2026-07-31,135274227536.33,2025-07-14,0.7018729625637741
M0038_2559,K-SFPLUS-I,K-SFPLUS,ตราสารหนี้,2322451238.47,2026-07-31,64083654.33,2025-07-14,35.24093012097114
