proj_id,display_name,policy_desc,aum,aum_year_ago,class_count,aum_growth_rate
M0000_2552,HI-DIV,ตราสารทุน,2902147262.79,2421979631.37,3,0.19825419883832462
M0001_2524,SSB,ผสม,23098339.46,19779088.98,1,0.16781614579702442
M0001_2530,SF5,ตราสารทุน,150544574.78,110708330.66,1,0.3598305916321909
M0001_2531,TNP,ตราสารทุน,140799480.37,109716191.11,1,0.2833063100854123
M0001_2536,KPLUS,ตราสารทุน,138925326.99,107782213.98,1,0.2889448254957807
M0001_2540,ONE-FAR,ตราสารหนี้,440380668.54,304081181.48,1,0.44823387753432775
M0001_2552,PRINCIPAL SET50,ตราสารทุน,237550832.87,125989669.47,6,0.8854786576495017
M0001_2564,ONE-GLOBALTOP8M10,ผสม,562043879.55,893715351.96,1,-0.37111533519326256
M0001_2569,KFTGB6M56,ตราสารหนี้,2069890704.63,0.0,1,
M0002_2530,SF4,ตราสารทุน,32962416.86,24681566.68,1,0.33550747759906785
M0002_2533,SAN,ตราสารทุน,89231260.69,66782493.85,1,0.33614747736767847
M0002_2545,ES-TM,ตราสารหนี้,41829858957.97,30093012765.88,1,0.3900189815955366
M0002_2560,UGIS,ตราสารหนี้,12342173778.14,12722660747.02,3,-0.029906241818883794
M0002_2563,SCBDPLUS,ผสม,1240938685.64,1955817331.4,4,-0.36551401518069193
M0003_2533,RPF2,ตราสารทุน,148737634.73,108922574.83,1,0.36553542699611175
M0003_2537,ES-EQUITY,ตราสารทุน,1240269168.76,999631715.29,1,0.2407261092153219
M0003_2539,SCBSFF,ตราสารหนี้,91416495473.58,80393018952.49,1,0.13711982289910707
M0003_2561,SI5A4,ผสม,22869412.5,24074693.33,1,-0.05006422360105711
M0004_2535,TISCOEQF,ตราสารทุน,72805383.66,53659029.87,1,0.35681513132805365
M0004_2545,TOF,ผสม,677962727.84,500991923.73,1,0.353240832292089
M0004_2556,TCHRMF,ตราสารทุน,132989121.7,136041367.86,1,-0.022436161941131516
M0004_2559,ES-JPNAE,ตราสารทุน,4291552126.17,374642835.81,7,10.455049225461392
M0004_2564,SCBAA,ผสม,1048975381.52,2375398290.96,4,-0.5584002120772495
M0004_2565,B-SMEQ,ตราสารทุน,109129751.64,93712563.44,1,0.16451570242095603
M0005_2535,TISCOEGF,ตราสารทุน,376669299.81,370158283.07,1,0.017589817755796933
M0005_2537,SCBDAFUND,ตราสารทุน,307450695.45000005,100860142.73,4,2.0482873326189672
M0005_2539,TISCOFLEXP,ผสม,180716985.42,140832426.82,1,0.2832057893241948
M0005_2558,SCBCHAFUND,ตราสารทุน,15024392690.710001,6912091909.89,8,1.1736390208024736
M0005_2563,UINC,ตราสารหนี้,146678607.57,265460530.5,2,-0.44745605949883394
M0005_2564,MFTECH,ตราสารทุน,783102992.42,1123597560.48,1,-0.3030396113663161
M0005_2565,SCBCIO,ผสม,71498382708.78,1355126789.6399999,6,51.76139712932257
M0006_2539,SCBRFFUND,ตราสารหนี้,6890923170.56,7741367750.900001,5,-0.10985714769087529
M0006_2543,TISCOAGF,ผสม,104184992.46,108980253.55,1,-0.04400119226920263
M0006_2563,SCBSPLUS,ผสม,4241104650.88,5843434571.2,4,-0.27421029546856845
M0006_2568,METHETF-UI,อื่น ๆ,94631984.19,34000420.86,1,1.7832592008097867
M0007_2538,SCBPMOFUND,ตราสารทุน,46206244.19,34523665.879999995,4,0.33839333142103745
M0007_2564,ASP-TRIGGER 6M3,ผสม,262086304.74,282377555.07,1,-0.07185858070401485
M0007_2565,KT-EPIC,ตราสารทุน,1155666504.0,895128802.92,6,0.29106168880958805
M0008_2537,RKF4,ตราสารทุน,218631199.39,170008981.5,1,0.28599793646784466
M0008_2564,DAOL-NUCLEAR,ตราสารทุน,554744493.12,0.0,1,
M0008_2565,B-GLOB-INFRA,ตราสารทุน,306300305.77,213973109.12,1,0.4314897186366591
M0008_2569,A-JEDI,ตราสารทุน,374462806.96,0.0,1,
M0009_2540,ES-MF,ตราสารหนี้,7364766295.11,5869660134.91,1,0.25471767118300526
M0009_2543,K-FEQ,ผสม,1093772486.38,1004727261.97,1,0.08862626483868508
M0009_2553,KF-HSHARE-INDX,ตราสารทุน,1769716295.2,1309614413.4,1,0.35132622021583493
M0009_2561,KKP GNP-H FUND,ตราสารทุน,3598857662.53,2096992400.24,5,0.7161996686865018
M0009_2564,KT-ASIAG,ตราสารทุน,10638516165.26,2250464170.1,6,3.727254184538861
M0009_2565,M-EUBANK,ตราสารทุน,545901874.69,85827631.83,1,5.360444335354325
M0010_2561,TISCOINA,ตราสารทุน,1118681690.28,1574925110.31,3,-0.2896921364979669
M0010_2562,TGHDIGI,ตราสารทุน,721898640.59,957063251.7,1,-0.24571480588381678
M0011_2547,TSF,ตราสารทุน,3522699986.02,2037584379.94,3,0.7288609103509773
M0012_2537,B-INFRA,ตราสารทุน,1401075074.14,1093920498.17,1,0.28078327125584845
M0012_2563,TTHREIT,ผสม,350075865.55,255950884.21,1,0.36774626362600604
M0012_2566,KFNDQ,ตราสารทุน,878199080.3100001,985563011.13,3,-0.10893664799463354
M0012_2569,SCBCR1YAE,ผสม,5754518973.07,0.0,1,
M0013_2536,ES-CSD,ผสม,1600027268.03,1578950498.08,1,0.013348594509852818
M0013_2537,BKD,ตราสารทุน,2247682673.06,2274697514.97,1,-0.011876234854178436
M0013_2563,ES-CHINAA,ตราสารทุน,39033908874.72,8269461228.65,8,3.720248126865254
M0014_2535,ES-STSD,ผสม,161848034.27,203359888.78,1,-0.20413000203254728
M0014_2536,K-SELECT,ตราสารทุน,1114656307.1399999,904852093.02,3,0.23186575545155153
M0014_2537,BTK,ตราสารทุน,736399279.22,567806926.8,1,0.2969184496746793
M0014_2556,ES-IPLUS,ตราสารหนี้,69263230166.86,44223795911.21,1,0.5661982138738777
M0014_2564,UEV-M,ตราสารทุน,672742207.02,736248915.16,2,-0.0862571160817247
M0014_2565,DAOL-BOND6M3,ตราสารหนี้,121203654.22,182731138.6,1,-0.33671045258840193
M0014_2566,DAOL-ALPHABONDS,ตราสารหนี้,8075754.13,12846666.4,1,-0.37137356271662825
M0015_2536,ONE-UB 3,ตราสารทุน,43756552.73,46572250.45,1,-0.06045870003690157
M0015_2537,BTP,ตราสารทุน,5144377976.88,4848511949.0,1,0.06102202716877336
M0015_2564,SCBAO,ตราสารทุน,3837756923.96,4598849321.36,4,-0.16549626748260693
M0015_2569,DAOL-COPPER,ตราสารทุน,1108898408.88,0.0,1,
M0016_2536,ONE-MIDSMALL,ตราสารทุน,70675398.2,65133808.95,1,0.08508007345699697
M0016_2560,ONE-POWER,ผสม,11245225.38,13687281.32,2,-0.17841789635985938
M0016_2563,BCAP-USND100,ตราสารทุน,2365809014.03,971802393.84,1,1.434454812034053
M0016_2564,KTF19,ตราสารหนี้,178824874.7,252819816.35,1,-0.2926785673618342
M0016_2565,LHTREASURY,ตราสารหนี้,2337628083.22,2323759544.42,2,0.005968147105969601
M0017_2535,ONE-G,ตราสารทุน,70975868.48,51259984.16,1,0.38462525190136554
M0017_2538,K-FIXED,ตราสารหนี้,61424712069.19,197068024367.90002,2,-0.6883070591172206
M0017_2540,MFF,ตราสารหนี้,192099883.3,165790818.69,1,0.1586883086643862
M0017_2564,KTF20,ตราสารหนี้,191957238.55,272914910.58,1,-0.2966407070172471
M0017_2565,SCBEV,ตราสารทุน,1321035820.53,498030871.96,8,1.6525179359485587
M0018_2564,ES-GENOME,ตราสารทุน,359415870.08,141205433.84,1,1.5453402203151363
M0018_2569,TLGOLDPLUS,ผสม,23228445.43,0.0,1,
M0019_2535,RRF1,ตราสารทุน,37314005.82,28146587.07,1,0.3257026767473019
M0019_2537,TS,ตราสารทุน,14275274.29,10648353.51,1,0.34060859987357794
M0020_2537,DE-1,ตราสารทุน,39213391.09,28402080.59,1,0.3806520605327246
M0020_2539,ABG,ตราสารทุน,1354554753.22,1253548455.6,1,0.08057630095491941
M0020_2543,KTSF,ตราสารทุน,1852884341.66,1273726536.01,1,0.4546955639820738
M0020_2569,DAOL-CHINABIO,ตราสารทุน,79863682.95,0.0,1,
M0021_2536,THANA1,ตราสารทุน,81199105.87,77603481.24,1,0.04633329036979705
M0021_2538,RKBC,ผสม,159993583.66,145745420.33,1,0.09776062464082225
M0021_2541,ES-TSB,ตราสารหนี้,630851236.46,721864890.04,1,-0.12608128589680634
M0021_2554,UOBID,ตราสารหนี้,1270078954.03,1174852490.61,1,0.08105397416364779
M0021_2558,UOBGARMF,ผสม,166083448.62,112138289.6,1,0.48105922796239997
M0021_2559,KT-JAPANSM,ตราสารทุน,1265877138.3000002,747491617.15,6,0.6935001132540797
M0022_2537,SCDF,ตราสารทุน,4332099.67,3372513.87,1,0.28453131313585955
M0022_2562,ONE-SETHD,ตราสารทุน,70973899.11,63565277.37,1,0.1165513948263921
