nav_date,M0155_2547,M0209_2548
2015-01-05,23.8239,28.381
2015-01-06,23.6462,28.1817
2015-01-07,24.0011,28.6708
2015-01-08,24.3954,29.1099
2015-01-09,24.38,29.1701
2015-01-12,24.2695,29.1393
2015-01-13,24.3093,29.1234
2015-01-14,24.076,28.8328
2015-01-15,24.052,28.8158
2015-01-16,23.989,28.6944
2015-01-19,24.2942,29.0979
2015-01-20,24.2592,29.069
2015-01-21,24.2509,29.0659
2015-01-22,24.6897,29.6455
2015-01-23,25.3528,30.6198
2015-01-26,25.1456,30.3181
2015-01-27,25.1559,30.2689
2015-01-28,25.1827,30.2953
2015-01-29,25.0277,30.1248
2015-01-30,24.8814,29.9504
2015-02-02,24.8613,29.9799
2015-02-03,25.1648,30.4863
2015-02-04,25.0788,30.4102
2015-02-05,25.2544,30.5539
2015-02-06,25.2692,30.6342
2015-02-09,25.04,30.3266
2015-02-10,24.8988,30.1651
2015-02-11,25.0612,30.3647
2015-02-12,25.1955,30.5333
2015-02-13,25.202,30.548
2015-02-16,25.0848,30.3703
2015-02-17,24.8113,29.9734
2015-02-18,24.9879,30.2694
2015-02-19,24.9036,30.1261
2015-02-20,24.9545,30.2062
2015-02-23,24.8025,29.9676
2015-02-24,24.869,30.0376
2015-02-25,24.6931,29.8419
2015-02-26,24.7663,30.0022
2015-02-27,24.6403,29.767
2015-03-02,24.6364,29.678
2015-03-03,24.5294,29.3991
2015-03-05,24.529,29.2706
2015-03-06,24.7617,29.5695
2015-03-09,24.5724,29.4205
2015-03-10,24.1356,28.8067
2015-03-11,24.3647,29.1208
2015-03-12,24.3164,29.0635
2015-03-13,24.3521,29.0199
2015-03-16,23.9998,28.5706
2015-03-17,24.0426,28.6027
2015-03-18,24.3442,28.9861
2015-03-19,24.4507,29.0204
2015-03-20,24.4522,28.9717
2015-03-23,24.3897,28.8494
2015-03-24,24.3702,28.8286
2015-03-25,24.3277,28.7593
2015-03-26,24.2018,28.539
2015-03-27,24.2561,28.5494
2015-03-30,24.2473,28.5421
2015-03-31,24.3762,28.7105
2015-04-01,24.5971,29.0599
2015-04-02,24.7396,29.2133
2015-04-03,24.7899,29.266
2015-04-07,25.0099,29.5631
2015-04-08,24.9448,29.4626
2015-04-09,24.9618,29.4815
2015-04-10,25.0595,29.5797
2015-04-16,25.5133,30.1004
2015-04-17,25.4085,30.0182
2015-04-20,25.3047,29.8513
2015-04-21,25.5119,30.0796
2015-04-22,25.1341,29.6367
2015-04-23,25.0535,29.4942
2015-04-24,25.2996,29.7546
2015-04-27,25.1613,29.6062
2015-04-28,24.9176,29.2907
2015-04-29,24.7276,29.0997
2015-04-30,24.8389,29.1906
2015-05-06,24.8121,29.127
2015-05-07,24.5501,28.7844
2015-05-08,24.7889,29.0685
2015-05-11,24.7118,28.9331
2015-05-12,24.4919,28.6456
2015-05-13,24.6671,28.8846
2015-05-14,24.6363,28.8297
2015-05-15,24.8809,29.1099
2015-05-18,23.7463,29.0653
2015-05-19,24.005,29.3899
2015-05-20,23.7935,29.1938
2015-05-21,23.9012,29.3292
2015-05-22,23.8999,29.2427
2015-05-25,23.6358,28.9061
2015-05-26,23.4752,28.7156
2015-05-27,23.5227,28.7717
2015-05-28,23.3496,
2015-05-29,23.3363,28.598
2015-06-02,23.022,28.2145
2015-06-03,23.0984,28.3223
2015-06-04,23.2552,28.4914
2015-06-05,23.5613,28.8507
2015-06-08,23.5581,28.8234
2015-06-09,23.2646,28.4712
2015-06-10,23.4925,28.7624
2015-06-11,23.635,28.984
2015-06-12,23.4953,28.7879
2015-06-15,23.4172,28.6334
2015-06-16,23.4133,28.6593
2015-06-17,23.5903,28.9197
2015-06-18,23.4357,28.749
2015-06-19,23.1214,28.3887
2015-06-22,23.373,28.6969
2015-06-23,23.3596,28.6541
2015-06-24,23.6432,28.9975
2015-06-25,23.6803,29.0329
2015-06-26,23.6622,28.9851
2015-06-29,23.5585,28.8909
2015-06-30,23.3889,28.6504
2015-07-02,23.1219,28.3949
2015-07-03,23.1294,28.3614
2015-07-06,22.8825,28.0538
2015-07-07,23.0532,28.2486
2015-07-08,22.7886,27.944
2015-07-09,22.8648,28.0253
2015-07-10,23.0803,28.3158
2015-07-13,23.1497,28.3907
2015-07-14,23.0521,28.3059
2015-07-15,23.015,28.2884
2015-07-16,22.9694,28.2235
2015-07-17,22.925,28.173
2015-07-20,22.7522,27.9402
2015-07-21,22.4995,27.5972
2015-07-22,22.4963,27.6351
2015-07-23,22.4132,27.4887
2015-07-24,22.2941,27.3268
2015-07-27,21.9396,26.8375
2015-07-28,21.9702,26.8596
2015-07-29,22.1006,27.0545
2015-07-31,22.5135,27.5529
2015-08-03,22.5129,27.5314
2015-08-04,22.2773,27.3003
2015-08-05,22.3407,27.373
2015-08-06,22.1978,27.1953
2015-08-07,22.1087,27.1286
2015-08-10,21.9807,26.9479
2015-08-11,21.7694,26.7305
2015-08-13,21.8152,26.7332
2015-08-14,21.9462,26.9083
2015-08-17,21.8287,26.7675
2015-08-18,21.2339,26.0309
2015-08-19,21.2811,26.1034
2015-08-20,21.1158,25.9018
2015-08-21,21.0198,25.798
2015-08-24,20.032,24.5412
2015-08-25,20.5091,25.1483
2015-08-26,20.4625,25.0376
2015-08-27,21.1249,25.8678
2015-08-28,21.3691,26.0885
2015-08-31,21.535,26.4286
